Tissue,Average_RMA,Transporter
cerebral cortex,2.265046,SLC22A13
cervical epithelium,2.26015,SLC22A13
uterus,2.228416667,SLC22A13
urinary bladder,2.2270915,SLC22A13
testis,2.224358537,SLC22A13
myometrium,2.196308065,SLC22A13
seminal vesicle,2.19628,SLC22A13
lung,2.160858487,SLC22A13
heart,6.777929333,SLC22A14
stomach,6.442295,SLC22A14
lymph node,5.667238333,SLC22A14
adrenal gland,5.618377,SLC22A14
uterus,5.549053333,SLC22A14
kidney,5.528568056,SLC22A14
spinal cord,5.338589412,SLC22A14
brain,5.291355224,SLC22A14
cardia,5.144186667,SLC22A14
esophagus,5.0835625,SLC22A14
spermatozoon,5.068428,SLC22A14
spleen,5.03499,SLC22A14
aorta,4.984585,SLC22A14
uterine cervix,4.805107143,SLC22A14
lung,4.707032895,SLC22A14
salivary gland,4.60522,SLC22A14
myometrium,4.47736371,SLC22A14
prefrontal cortex,4.470087739,SLC22A14
colon,4.449656389,SLC22A14
liver,4.336763737,SLC22A14
cervical epithelium,4.140017727,SLC22A14
pancreas,4.1184165,SLC22A14
placenta,4.073063443,SLC22A14
urinary bladder,3.951233,SLC22A14
hair follicle,3.7686925,SLC22A14
thyroid gland,3.74658,SLC22A14
prostate gland,3.659134471,SLC22A14
testis,3.624895366,SLC22A14
skin,3.547716032,SLC22A14
tonsil,3.50571375,SLC22A14
seminal vesicle,3.4559725,SLC22A14
cerebral cortex,3.183975667,SLC22A14
pancreatic islet,2.806445714,SLC22A14
brain,9.662014,SLC22A17
prefrontal cortex,9.1123675,SLC22A17
cerebral cortex,8.720653793,SLC22A17
seminal vesicle,8.704485,SLC22A17
spinal cord,8.245013529,SLC22A17
prostate gland,7.165080361,SLC22A17
adrenal gland,6.90562,SLC22A17
heart,6.626670625,SLC22A17
thyroid gland,6.175944074,SLC22A17
pancreatic islet,6.143148571,SLC22A17
salivary gland,5.500952,SLC22A17
urinary bladder,5.415598,SLC22A17
uterus,5.34417,SLC22A17
kidney,5.096741515,SLC22A17
testis,5.084519487,SLC22A17
skin,5.037189255,SLC22A17
aorta,4.9957975,SLC22A17
lymph node,4.738146667,SLC22A17
myometrium,4.644181452,SLC22A17
uterine cervix,4.573126429,SLC22A17
cardia,4.22472,SLC22A17
pancreas,4.19525381,SLC22A17
stomach,4.05696625,SLC22A17
placenta,3.974762667,SLC22A17
colon,3.405162778,SLC22A17
spleen,3.3894772,SLC22A17
lung,3.374266791,SLC22A17
esophagus,3.34392,SLC22A17
tonsil,2.97658875,SLC22A17
liver,2.88413449,SLC22A17
hair follicle,2.596834167,SLC22A17
cervical epithelium,2.555752727,SLC22A17
spermatozoon,2.32872,SLC22A17
heart,9.094914667,SLC22A18
kidney,8.492432778,SLC22A18
liver,8.358346566,SLC22A18
skin,7.785246243,SLC22A18
colon,7.777694722,SLC22A18
spermatozoon,6.590303,SLC22A18
urinary bladder,6.5340775,SLC22A18
pancreas,5.9387645,SLC22A18
placenta,5.920628197,SLC22A18
stomach,5.75059875,SLC22A18
lung,5.66149125,SLC22A18
prostate gland,5.615521647,SLC22A18
thyroid gland,5.218793929,SLC22A18
tonsil,5.17044,SLC22A18
uterine cervix,5.061295714,SLC22A18
seminal vesicle,5.0074225,SLC22A18
spleen,4.919036,SLC22A18
cervical epithelium,4.841101818,SLC22A18
myometrium,4.806656935,SLC22A18
salivary gland,4.687643333,SLC22A18
testis,4.248779268,SLC22A18
prefrontal cortex,3.736833908,SLC22A18
esophagus,3.656495,SLC22A18
adrenal gland,3.599569,SLC22A18
spinal cord,3.577094706,SLC22A18
aorta,3.467865,SLC22A18
hair follicle,3.37547375,SLC22A18
pancreatic islet,3.17903,SLC22A18
lymph node,3.132616667,SLC22A18
cardia,3.10338,SLC22A18
brain,2.906039701,SLC22A18
cerebral cortex,2.599394333,SLC22A18
uterus,2.549443333,SLC22A18
heart,5.630988143,SLC22A23
colon,4.644324267,SLC22A23
spermatozoon,4.4782574,SLC22A23
prostate gland,4.125103827,SLC22A23
spinal cord,3.985773077,SLC22A23
cerebral cortex,3.969704897,SLC22A23
tonsil,3.95272775,SLC22A23
skin,3.914770985,SLC22A23
pancreas,3.90337098,SLC22A23
placenta,3.838176702,SLC22A23
lung,3.816251186,SLC22A23
kidney,3.76918447,SLC22A23
brain,3.690133095,SLC22A23
liver,3.65839741,SLC22A23
spleen,3.6039572,SLC22A23
urinary bladder,3.54860875,SLC22A23
prefrontal cortex,3.405929079,SLC22A23
stomach,3.385988,SLC22A23
esophagus,3.3795875,SLC22A23
adrenal gland,3.209125,SLC22A23
seminal vesicle,3.1274075,SLC22A23
myometrium,2.967116054,SLC22A23
cardia,2.960118,SLC22A23
salivary gland,2.8988404,SLC22A23
uterine cervix,2.8894085,SLC22A23
aorta,2.844864,SLC22A23
uterus,2.839566,SLC22A23
lymph node,2.836333,SLC22A23
thyroid gland,2.8200804,SLC22A23
testis,2.620534286,SLC22A23
pancreatic islet,2.57735,SLC22A23
